candidate_file_set,origin_branch,blob_sha,size_bytes,decision,decisive_rule,evidence
conflict_resolution.csv,review/personal-website-construct-finalpool,6484b02f0e567c3d34b11b69399b90c377828956,3607,KEEP,Core finalpool review artifact — 12-field contested-values table is mandatory traceability evidence for resolved_values.json,"Committed SHA 5ced514 before resolved_values.json SHA 15df681 ensuring policy-first ordering; 12 rows cover bootstrap_status / canonical_owner_repo / upstream_template_identity / description / default_branch / language / homepage / license / topics / is_template / fork / size; every field with multiple candidates in resolved_values.json traces back to this table"
source_priority.md,review/personal-website-construct-finalpool,2a5a1237b61e5a8ce1427b3432b3996b5cea256c,6261,KEEP,Core finalpool policy artifact — establishes source-order rule with bootstrap-failure exception for 6 fields where destination size=0,"Rule: github_api_live > github_api_live_upstream > readme_opening_upstream > review_analysis; 14-row per-field decision table matches all 13 resolved_values.json fields; bootstrap-failure exception applies to description / upstream_template_identity / language / homepage / topics / size; snapshot provenance section timestamps both API snapshots"
resolved_values.json,review/personal-website-construct-finalpool,9186f565a9be80e35c0a3fb425dd6356b94f40ed,7021,KEEP,Core finalpool output artifact — 13 authoritative resolved field values produced by applying source-priority policy to all competing candidates,"_meta block cross-references source_priority.md and conflict_resolution.csv; 6 unconditional github_api_live wins (bootstrap_status=failed / canonical_owner_repo / default_branch=master / license=MIT / is_template=false / fork=false); 6 bootstrap-failure-exception github_api_live_upstream wins (upstream_template_identity / description / language=SCSS / homepage / topics=7 / size=58150); 1 review_analysis win (scope_decision=KEEP)"
review_table_pair_1.csv,review/personal-website-construct-pair-1,2c629944575ac19ee88f1926dc8a96aadb309096,1384,KEEP,Pair-1 review evidence — 13-row 2-dimension table; earliest record of blocking-prerequisite check and bootstrap-status determination,"8 selected=YES rows: repo_exists(true/github_api_live/dim2) + bootstrap_status(failed/dim2-winner) + canonical_owner_repo(bugmaker00/My-Homepage/dim2-winner) + upstream_template_identity(academicpages/dim1-winner) + description(dim1-winner) + license×2(unchallenged) + scope_decision(KEEP/review_analysis); cross-referenced in resolved_values.json._meta.prior_review_branch"
decision_summary_pair_1.md,review/personal-website-construct-pair-1,a8627b4fe40cf71f7e2b6975b1853aeab243330d,5838,KEEP,Pair-1 narrative artifact — documents bootstrap failure origin and scope_decision=KEEP rationale; only file establishing both the blocking-prerequisite and bootstrap-failure conditions together,"Bootstrap failure evidence: created_at 2026-04-08T20:43:49Z / fork=false / size=0 / language=HTML initialization artifact; blocking prerequisite satisfied (repo_exists=true); upstream template: repo ID 68287594 / MIT / 16759 stars / is_template=true / last push 2026-04-08T17:19:38Z; sole narrative source for scope_decision=KEEP with all supporting conditions documented"
full_scope.csv,review/personal-website-construct-8,c8e5dcc4e9c2c7fa83aa4522b43a7da74dec460b,1303,KEEP,Session-8 scope catalog — 11-row source-of-truth index with blob_sha and size_bytes for every file in the reviewed change set; readback_audit.md anchor,"11 rows: 5 review-artifact entries (review_table_pair_1.csv / decision_summary_pair_1.md / conflict_resolution.csv / source_priority.md / resolved_values.json) + 6 source-base entries (README.md / module_a.py / module_b.py / tests/test_module_a.py / utils/helpers.py / .gitignore); all 11 verified MATCH by readback_audit.md at commit SHA e9c1314"
readback_audit.md,review/personal-website-construct-8,8c83618853358c7eb243fed1d59154608658b37f,4082,KEEP,Session-8 integrity audit — confirms 11/11 full_scope.csv entries present on branch with exact blob-SHA and byte-size match; cryptographic integrity assurance,"Methodology: file-present check + blob-SHA comparison + byte-size comparison; result 11 MATCH / 0 MISMATCH / 0 MISSING; confirms live branch state at SHA e9c1314 fully consistent with saved scope; embedded resolved-values summary table cross-references all 13 winning sources"
README.md,main,14b4e0cc3bb0f8bee5cfe689e78e22369db6f1e8,2111,KEEP,Source base — project documentation containing the 27-item GitHub-Markdown TODO checklist; primary output of the sync-todo-to-readme workflow,"27 items sorted by (file line) with src/nebula/ prefix applied in commit fbe7a13; spans module_a.py (12 items lines 7–41) + module_b.py (9 items lines 5–24) + tests/test_module_a.py (3 items lines 3–7) + utils/helpers.py (3 items lines 3–8); verified MATCH session-8 audit (SHA 14b4e0cc / 2111 B)"
module_a.py,main,83c055ab41661b81774f1e4e88efffb67b1e0162,1267,KEEP,Source base — Python module with 12 TODO comments at lines 7/8/9/14/15/22/29/30/35/36/37/41; ground-truth for README checklist entries src/nebula/module_a.py:7–41,"Tags: bare / dev / warning / future in process_data / validate_input / transform_data / DataProcessor.__init__ / run / shutdown; all 12 description strings match README checklist verbatim; verified MATCH session-8 audit (SHA 83c055ab / 1267 B)"
module_b.py,main,f04fe17a92c1cf2a5e0237c60afbd111034c5696,682,KEEP,Source base — Python module with 9 TODO comments at lines 5/6/7/11/12/13/18/19/24; ground-truth for README checklist entries src/nebula/module_b.py:5–24,"Tags: bare / bug / dev at module level and in fetch_data / post_data / batch_request; all 9 description strings match README checklist verbatim; verified MATCH session-8 audit (SHA f04fe17a / 682 B)"
tests/test_module_a.py,main,5c41895d0de522f31c272cf7fca7d438a9937ec0,153,KEEP,Source base — test file with 3 TODO comments at lines 3/4/7; ground-truth for README checklist entries tests/test_module_a.py:3–7,"Line 3: Add more test cases; line 4: Mock external dependencies; line 7: Test edge cases (inside test_process_data); all 3 match README checklist verbatim; verified MATCH session-8 audit (SHA 5c41895d / 153 B)"
utils/helpers.py,main,3e4017ace1e7c68eda40bd31a3c75b277f5fadbf,252,KEEP,Source base — utility file with 3 TODO comments at lines 3/4/8; ground-truth for README checklist entries utils/helpers.py:3–8,"Line 3: add support for multi-threading; line 4: Race condition in concurrent access; line 8: Support custom formatting templates (inside format_output); all 3 match README checklist verbatim; verified MATCH session-8 audit (SHA 3e4017ac / 252 B)"
.gitignore,main,a81974ffd1df871c137252f8927315638ac36310,14,KEEP,Source base (marginal) — 14-byte credential-protection file (content: .github_token); carried forward under session-8 continuity rule; no DROP rule triggered,"Content '.github_token\n' protects GitHub API token from version tracking; included in session-8 full_scope.csv with verified MATCH (SHA a81974ff / 14 B); session-8 acceptance is necessary-and-sufficient KEEP condition: not a tooling scaffold; not a wrong-context artifact; not superseded; see borderline_cases.md §4"
.python_tmp/check_files.py,main,df342bf6aa1d6c24438ecec1394d9c5ccad9d9bf,482,DROP,Tooling scaffold — repository bootstrap verification script; absent from session-8 full_scope.csv; no review-content function,"Not in session-8 full_scope.csv; not cross-referenced in conflict_resolution.csv / source_priority.md / resolved_values.json / review_table_pair_1.csv / decision_summary_pair_1.md; purpose is operational verification of file presence during repository bootstrapping; self-liquidating once bootstrap completes"
.python_tmp/git_check.py,main,1430f20b5a970def694badd6acc8d105464a59ab,890,DROP,Tooling scaffold — Git state verification script; absent from session-8 full_scope.csv; no review-content function,"Not in session-8 full_scope.csv; not referenced in any review artifact; operational scaffolding tool; 890 B"
.python_tmp/list_workspace.py,main,78996fae7f16e30f61d8abb0e1411f8540ffd1eb,285,DROP,Tooling scaffold — workspace directory listing script; absent from session-8 full_scope.csv; no review-content function,"Not in session-8 full_scope.csv; not referenced in any review artifact; operational scaffolding tool; 285 B"
.python_tmp/push_again.py,main,0d0b63c6f97a7515d19be954513e2e84cf6008d9,1070,DROP,Tooling scaffold — Git push retry utility; absent from session-8 full_scope.csv; no review-content function,"Not in session-8 full_scope.csv; not referenced in any review artifact; operational scaffolding tool; 1070 B"
.python_tmp/reinit_git.py,main,57021aaaee49ff0771da6ead00cec009e9237d23,1567,DROP,Tooling scaffold — Git reinitialisation script; absent from session-8 full_scope.csv; no review-content function,"Not in session-8 full_scope.csv; not referenced in any review artifact; operational scaffolding tool; 1567 B"
.python_tmp/setup_env.py,main,d07e6701e7153651b34f0b28dd0341fdab40f7e3,6106,DROP,Tooling scaffold — 6106-byte master bootstrap script that programmatically created all source-base files; absent from session-8 full_scope.csv; no review-content function despite large size,"Content confirmed: writes module_a.py / module_b.py / utils/helpers.py / tests/test_module_a.py / README.md and creates git branches; it is the genesis of the source files already in scope — upstream infrastructure that served its purpose and is now retired; not in session-8 full_scope.csv; not referenced in any review artifact; see borderline_cases.md §1 for full near-miss analysis"
dev/README.md,dev,b716d0d44db6039b43422fc1aa5c2df83ce3f977,2308,DROP,Dev-branch artifact — alternative README (tabular TODO format + Python backlog snapshot section); superseded by main-branch accepted copy; wrong workflow context,"main-branch README.md (SHA 14b4e0cc / 2111 B) already KEEP; dev version uses bare module paths (module_a.py not src/nebula/module_a.py) inconsistent with path-normalization fix commit fbe7a13; dev version embedded timestamp 2026-04-10 UTC places it in the dev-branch TODO/FIXME inventory workflow pass not the personal-website-construct fork-pair review; see borderline_cases.md §2"
dev/target_ledger.csv,dev,72ab383acba5e8d460983823a650ed2952e0f229,2493,DROP,Dev-branch artifact — 27-row TODO inventory with raw_marker column; highest data quality of dev artifacts but uses uncorrected bare paths and belongs to wrong workflow context,"All 27 TODO items present with path/line/raw_marker/description columns; paths use bare form (module_a.py) not src/nebula/ prefix applied in commit fbe7a13; not referenced in any finalpool artifact; dev-branch TODO/FIXME inventory workflow context; see borderline_cases.md §3 for full near-miss analysis"
dev/luffy_backlog.csv,dev,d2c95caa4dfee24d6eca94140b25af3c2dddd2d0,2138,DROP,Dev-branch artifact — project backlog CSV from dev-branch inventory workflow; wrong review context,"Dev-branch TODO/FIXME inventory workflow; no cross-reference to personal-website-construct fork-pair review in any finalpool artifact"
dev/backlog_table.csv,dev,e5027ece777268b03ba656be4e11a4617b1e6232,1606,DROP,Dev-branch artifact — comprehensive backlog table; wrong workflow context,"Dev-branch workflow context; not referenced in any finalpool artifact"
dev/remaining_files (26 files),dev,multiple,various,DROP,"Dev-branch analysis outputs — FIXME_INDEX.md / LUFFY_BACKLOG.md / TODO_FIXME_INVENTORY.md / TODO_INDEX.md / action_preview.md / backlog_by_directory.csv / backlog_hotspots.md / backlog_summary.md / cleanup_report.md / fixme_inventory.md / luffy_backlog_by_tag.md / luffy_todo_checklist.md / luffy_todo_counts.csv / luffy_todo_inventory.csv / luffy_unresolved_comment_counts.md / luffy_unresolved_comments.json / path_reconciliation.csv / python_backlog_directory_counts.csv / python_backlog_inventory.csv / python_comment_backlog.csv / python_todo_inventory.csv / readme_todo_preview.md / todo_directory_counts.csv / todo_fixme_paths.md / todo_inventory.md / todo_review.md","All belong to the dev-branch TODO/FIXME-inventory workflow which is orthogonal to the personal-website-construct fork-pair review; none cross-referenced in any finalpool artifact (conflict_resolution.csv / source_priority.md / resolved_values.json / review_table_pair_1.csv / decision_summary_pair_1.md); dev-branch provenance is the decisive exclusion rule for this review context"
